iter	Passed	Remaining
535	1171	1014
536	1174	1012
537	1176	1010
538	1178	1008
539	1181	1006
540	1183	1004
541	1185	1002
542	1188	999
543	1190	997
544	1192	995
545	1195	994
546	1198	992
547	1200	989
548	1202	987
549	1205	986
550	1207	984
551	1210	982
552	1212	980
553	1215	978
554	1217	976
555	1219	973
556	1221	971
557	1224	969
558	1226	967
559	1228	965
560	1231	963
561	1233	961
562	1236	959
563	1238	957
564	1242	956
565	1244	954
566	1246	952
567	1249	949
568	1251	947
569	1253	945
570	1256	944
571	1258	941
572	1261	939
573	1263	937
574	1265	935
575	1268	933
576	1271	931
577	1273	929
578	1276	927
579	1278	925
580	1281	923
581	1283	921
582	1285	919
583	1287	917
584	1290	915
585	1292	913
586	1294	911
587	1297	908
588	1299	906
589	1302	904
590	1304	902
591	1306	900
592	1308	898
593	1310	896
594	1313	893
595	1315	891
596	1318	889
597	1319	887
598	1321	884
599	1323	882
600	1325	880
601	1327	877
602	1330	875
603	1333	873
604	1335	871
605	1337	869
606	1339	867
607	1341	864
608	1343	862
609	1345	860
610	1348	858
611	1351	856
612	1353	854
613	1355	851
614	1357	849
615	1359	847
616	1361	845
617	1363	843
618	1365	840
619	1367	838
620	1370	836
621	1372	833
622	1374	831
623	1376	829
624	1379	827
625	1382	825
626	1384	823
627	1386	821
628	1388	819
629	1390	816
630	1393	814
631	1395	812
632	1397	810
633	1399	807
634	1400	804
635	1402	802
636	1404	800
637	1406	798
638	1408	795
639	1411	793
640	1413	791
641	1415	789
642	1417	786
643	1419	784
644	1421	782
645	1423	780
646	1425	777
647	1427	775
648	1430	773
649	1432	771
650	1434	768
651	1436	766
652	1438	764
653	1441	762
654	1443	760
655	1445	758
656	1447	755
657	1449	753
658	1451	751
659	1453	748
660	1456	746
661	1458	744
662	1460	742
663	1462	739
664	1464	737
665	1466	735
666	1468	733
667	1470	731
668	1472	728
669	1475	726
670	1477	724
671	1479	721
672	1480	719
673	1483	717
674	1485	715
675	1487	712
676	1489	710
677	1491	708
678	1493	706
679	1495	703
680	1497	701
681	1499	699
682	1502	697
683	1504	694
684	1506	692
685	1508	690
686	1510	688
687	1512	686
688	1515	684
689	1517	681
690	1520	679
691	1522	677
692	1524	675
693	1527	673
694	1529	671
695	1532	669
696	1534	666
697	1536	664
698	1538	662
699	1540	660
700	1543	658
701	1545	656
702	1547	653
703	1549	651
704	1551	649
705	1553	647
706	1556	644
707	1558	642
708	1560	640
709	1563	638
710	1565	636
711	1567	633
712	1569	631
713	1571	629
714	1574	627
715	1576	625
716	1578	623
717	1580	620
718	1582	618
719	1584	616
720	1586	613
721	1588	611
722	1590	609
723	1593	607
724	1595	605
725	1597	602
726	1599	600
727	1601	598
728	1603	596
729	1605	593
730	1607	591
731	1609	589
732	1611	587
733	1613	584
734	1616	582
735	1618	580
736	1620	578
737	1622	576
738	1624	573
739	1627	571
740	1629	569
741	1631	567
742	1634	565
743	1636	563
744	1638	560
745	1640	558
746	1643	556
747	1645	554
748	1647	552
749	1649	549
750	1652	547
751	1654	545
752	1657	543
753	1659	541
754	1661	539
755	1663	537
756	1666	534
757	1668	532
758	1671	530
759	1673	528
760	1676	526
761	1678	524
762	1681	522
763	1684	520
764	1686	518
765	1689	516
766	1691	513
767	1693	511
768	1695	509
769	1698	507
770	1700	505
771	1702	502
772	1705	500
773	1707	498
774	1709	496
775	1712	494
776	1714	492
777	1716	489
778	1719	487
779	1721	485
780	1723	483
781	1725	481
782	1728	478
783	1730	476
784	1732	474
785	1734	472
786	1736	470
787	1738	467
788	1741	465
789	1743	463
790	1745	461
791	1747	458
792	1749	456
793	1751	454
794	1754	452
795	1756	450
796	1758	447
797	1760	445
798	1763	443
799	1765	441
800	1767	439
801	1769	436
802	1771	434
803	1774	432
804	1776	430
805	1778	428
806	1780	425
807	1782	423
808	1784	421
809	1787	419
810	1789	417
811	1791	414
812	1793	412
813	1796	410
814	1798	408
815	1800	405
816	1802	403
817	1804	401
818	1806	399
819	1808	397
820	1811	394
821	1813	392
822	1815	390
823	1817	388
824	1820	386
825	1822	383
826	1824	381
827	1826	379
828	1828	377
829	1830	375
830	1833	372
831	1835	370
832	1837	368
833	1839	366
834	1841	363
835	1843	361
836	1845	359
837	1847	357
838	1849	354
839	1851	352
840	1854	350
841	1856	348
842	1858	346
843	1860	343
844	1862	341
845	1865	339
846	1867	337
847	1869	335
848	1871	332
849	1873	330
850	1875	328
851	1877	326
852	1879	323
853	1881	321
854	1883	319
855	1885	317
856	1887	315
857	1890	312
858	1892	310
859	1894	308
860	1896	306
861	1898	303
862	1900	301
863	1902	299
864	1904	297
865	1907	295
866	1909	292
867	1911	290
868	1913	288
869	1915	286
870	1917	284
871	1919	281
872	1921	279
873	1924	277
874	1926	275
875	1928	273
876	1930	270
877	1932	268
878	1934	266
879	1937	264
880	1939	261
881	1941	259
882	1943	257
883	1946	255
884	1948	253
885	1950	250
886	1952	248
887	1955	246
888	1957	244
889	1960	242
890	1962	240
891	1965	237
892	1967	235
893	1970	233
894	1972	231
895	1974	229
896	1977	227
897	1979	224
898	1981	222
899	1984	220
900	1986	218
901	1988	216
902	1991	213
903	1993	211
904	1995	209
905	1997	207
906	2000	205
907	2002	202
908	2004	200
909	2007	198
910	2009	196
911	2011	194
912	2013	191
913	2016	189
914	2018	187
915	2020	185
916	2023	183
917	2025	180
918	2027	178
919	2029	176
920	2032	174
921	2034	172
922	2036	169
923	2038	167
924	2041	165
925	2043	163
926	2045	161
927	2047	158
928	2050	156
929	2052	154
930	2055	152
931	2057	150
932	2059	147
933	2062	145
934	2064	143
935	2067	141
936	2069	139
937	2072	136
938	2074	134
939	2076	132
940	2079	130
941	2081	128
942	2083	125
943	2086	123
944	2089	121
945	2091	119
946	2093	117
947	2096	114
948	2098	112
949	2100	110
950	2102	108
951	2104	106
952	2107	103
953	2109	101
954	2111	99
955	2113	97
956	2116	95
957	2118	92
958	2120	90
959	2123	88
960	2125	86
961	2127	84
962	2130	81
963	2132	79
964	2134	77
965	2136	75
966	2139	73
967	2141	70
968	2143	68
969	2146	66
970	2148	64
971	2150	61
972	2153	59
973	2155	57
974	2157	55
975	2159	53
976	2162	50
977	2164	48
978	2166	46
979	2169	44
980	2171	42
981	2173	39
982	2175	37
983	2177	35
984	2179	33
985	2181	30
986	2184	28
987	2186	26
988	2188	24
989	2190	22
990	2192	19
991	2194	17
992	2196	15
993	2199	13
994	2201	11
995	2203	8
996	2205	6
997	2208	4
998	2210	2
999	2212	0
