,Mean_Importance
BHK_Clean,44.38887724471623
Locality_Value_Score,27.51723359662562
Area_SqFt_Clean,10.8924320765045
Locality_Frequency,7.138146284540285
Locality_Target_Encoded,5.531470518573089
Furnishing (Avg),1.476615706030401
Locality_Top10 (Avg),1.4199189295457997
Property_Type (Avg),0.6534356931988307
Transaction_Type (Avg),0.5534203819699515
Locality_Tier (Avg),0.42844956829528774
