Locality,Supply,Median_Price,Mean_Price,Price_Per_SqFt,Median_Area,Avg_BHK,Dominant_Type
"Devnandan Sankalp City, Naroda, Ahmedabad",3,18.0,20.666666666666668,2698.41,630.0,1.0,Apartment
"Dhairya Paradise, Isanpur, Ahmedabad",1,55.0,55.0,3819.44,1440.0,3.0,Apartment
"Dhanani Raj Mahal, Nikol, Ahmedabad",1,80.0,80.0,5809.73,1377.0,3.0,Apartment
"Dharm Dhayn Residency, Ramol, Amraiwadi, Ahmedabad",1,19.5,19.5,2708.33,720.0,1.0,Apartment
"Dharm Vatika, Hathijan, Ahmedabad",2,42.5,42.5,2890.3900000000003,1462.5,2.5,Apartment
"Dharmadev Project Swaminarayan Park, Naroda, Ahmedabad",1,27.0,27.0,2727.27,990.0,2.0,Apartment
"Dharmadev Swaminarayan Park 1, Narolgam, Ahmedabad",1,39.0,39.0,7722.77,505.0,1.0,Apartment
"Dharmadev Swaminarayan Park 2, Ahmedabad",1,42.0,42.0,3589.74,1170.0,2.0,Apartment
"Dharmadev Swaminarayan Park 2, Vasna, Ahmedabad",2,52.0,52.0,5128.055,1032.5,2.0,Apartment
"Dharmkunj Residency, Narolgam, Ahmedabad",1,45.9,45.9,1908.52,2405.0,1.0,Apartment
"Dharnidhar Bunglows, Ahmedabad",1,41.0,41.0,4880.95,840.0,2.0,Villa/Bungalow
"Dharti Exotica, Chandkheda, Ahmedabad",1,85.0,85.0,5902.78,1440.0,3.0,Apartment
"Dharti Nagar, Ahmedabad",1,29.0,29.0,3746.77,774.0,1.0,Apartment
"Dharti Saket Heaven, Chenpur Road, Ahmedabad",1,70.0,70.0,8454.11,828.0,2.0,Apartment
"Dholka, Ahmedabad",1,30.0,30.0,2892.96,1037.0,2.0,Apartment
"Divya Jivan Residency, Chandkheda, Ahmedabad",1,75.0,75.0,6082.73,1233.0,2.0,Apartment
"Divyajivan Lifestyle, Nikol Road, Ahmedabad",1,24.0,24.0,4000.0,600.0,1.0,Apartment
"Divyajivan Lifestyle, Nikol, Ahmedabad",1,40.0,40.0,2962.96,1350.0,2.0,Apartment
"Divyajyot Sarang Lakeview, Vaishnodevi Circle, Ahmedabad",2,147.0,147.0,8901.61,1730.5,3.5,Apartment
"Divyapunj Shalom, Chandkheda, Ahmedabad",1,45.0,45.0,3676.47,1224.0,2.0,Apartment
"Doctor House, Ambawadi, Ahmedabad",1,110.0,110.0,4888.89,2250.0,3.0,Villa/Bungalow
"Drive In Road, Ahmedabad",1,70.0,70.0,5600.0,1250.0,3.0,Apartment
"Dwarkesh Antilia, Motera, Ahmedabad",2,165.0,165.0,5035.715,3400.0,4.0,Apartment
"Dwarkesh Elegance, Chandkheda, Ahmedabad",1,56.0,56.0,7179.49,780.0,2.0,Apartment
"Dwarkesh Fragrance, Chandkheda, Ahmedabad",1,148.0,148.0,9548.39,1550.0,3.0,Apartment
"Eden Godrej Garden city, Godrej Garden City Road, Ahmedabad",1,52.0,52.0,7323.94,710.0,1.0,Apartment
"Eden Godrej Garden city, Gota, Ahmedabad",1,63.0,63.0,8289.47,760.0,2.0,Apartment
"Eden Godrej Garden city, Jagatpur Village, Gota, Ahmedabad",1,52.0,52.0,4727.27,1100.0,2.0,Villa/Bungalow
"Eden Godrej Garden city, Sarkhej Gandhinagar Highway, Ahmedabad",4,52.5,60.25,6324.59,975.0,2.25,Apartment
"Ekta Antarix, Chandkheda, Ahmedabad",1,87.0,87.0,4374.06,1989.0,3.0,Apartment
"Elenza Gradient, Shela, Ahmedabad",1,57.5,57.5,6877.99,836.0,3.0,Apartment
"Elenza Greenfield, Shela, Ahmedabad",1,85.0,85.0,4997.06,1701.0,3.0,Apartment
"Elenza Greenwood, South Bopal, Bopal, Ahmedabad",2,109.0,109.0,4926.735000000001,2212.5,3.5,Apartment
"Elite Ornate, Tragad, Ahmedabad",2,70.5,70.5,8719.33,827.0,2.0,Apartment
"Ellisbridge, Ahmedabad",2,122.0,122.0,9868.755000000001,1167.5,2.5,Villa/Bungalow
"Elysium Shantigram, Sarkhej Gandhinagar Highway, Ahmedabad",1,70.0,70.0,6113.54,1145.0,2.0,Apartment
"Eminence Vivaan Eminence, Zundal, Ahmedabad",1,89.9,89.9,5707.94,1575.0,3.0,Apartment
"Empire Skypark, Sola, Ahmedabad",1,104.0,104.0,8253.97,1260.0,3.0,Apartment
"Euphoria Aaryan Elan, Jagatpur, Ahmedabad",2,133.5,133.5,5433.845,2461.5,3.5,Apartment
"Evergreen Jaldhara Residency, Daskroi, Ahmedabad",1,60.0,60.0,7168.46,837.0,2.0,Apartment
"Excellife Vivekanand Arise, Satellite, Ahmedabad",4,150.0,160.0,8535.055,1910.0,3.25,Apartment
"Fatehpura, Ahmedabad",1,120.0,120.0,6201.55,1935.0,3.0,Apartment
"GSG Olive Greens, Gota, Ahmedabad",2,156.5,156.5,9742.985,1704.0,3.0,Apartment
"GSG Orchid Sky, Shela, Ahmedabad",2,120.0,120.0,6250.48,1908.0,3.0,Apartment
"Gajanan 189, Vastral, Ahmedabad",1,20.0,20.0,2805.05,713.0,1.0,Apartment
"Gajanan Dev Home Town 4, Chandkheda, Ahmedabad",2,49.75,49.75,4863.905000000001,985.5,1.5,Apartment
"Gajanan Dev Residency 2, Tragad, Ahmedabad",2,50.75,50.75,4114.1,1235.0,4.5,Apartment
"Gajanan Pride, Nava Naroda, Ahmedabad",1,48.0,48.0,3633.61,1321.0,2.0,Villa/Bungalow
"Gajanand Bhagvat Enclave, Ghodasar, Ahmedabad",1,40.5,40.5,6230.77,650.0,2.0,Apartment
"Gala Aria, South Bopal, Bopal, Ahmedabad",1,105.0,105.0,5833.33,1800.0,3.0,Apartment
"Gala Celestia, Vaishnodevi Circle, Ahmedabad",2,85.5,85.5,8430.09,1017.5,2.0,Villa/Bungalow
"Gala Eternia, Thaltej, Ahmedabad",1,150.0,150.0,8595.99,1745.0,3.0,Apartment
"Gala Glory, South Bopal, Bopal, Ahmedabad",2,68.5,68.5,6709.09,1062.5,2.5,Apartment
"Gala Haven Apartment, Sarkhej Gandhinagar Highway, Ahmedabad",1,110.0,110.0,5945.95,1850.0,3.0,Apartment
"Gala Haven, Sarkhej Gandhinagar Highway, Ahmedabad",1,67.0,67.0,4962.96,1350.0,2.0,Apartment
"Gala Imperia, Thaltej, Ahmedabad",1,325.0,325.0,10620.92,3060.0,4.0,Apartment
"Gala Residency, Gulbai Tekra, Ahmedabad",2,128.5,128.5,9221.86,1393.0,3.0,Apartment
"Gala swing, South Bopal, Bopal, Ahmedabad",1,170.0,170.0,10119.05,1680.0,4.0,Apartment
"Galaxy 88, Naroda, Ahmedabad",2,44.0,44.0,4404.7,1030.5,2.0,Apartment
"Galaxy Apartment, Bodakdev, Ahmedabad",1,180.0,180.0,7547.17,2385.0,4.0,Apartment
"Galaxy Coral, Vastral, Ahmedabad",1,35.0,35.0,3240.74,1080.0,2.0,Apartment
"Galaxy Gala Luxuria, South Bopal, Bopal, Ahmedabad",1,265.0,265.0,6973.68,3800.0,4.0,Apartment
"Galaxy Heights, Nicol Gam, Ahmedabad",1,90.0,90.0,5555.56,1620.0,3.0,Apartment
"Galaxy Tower, Bodakdev, Ahmedabad",3,175.0,171.66666666666666,7096.51,2466.0,3.6666666666666665,Apartment
"Gamara Hills, Sanand, Ahmedabad",2,82.5,82.5,9165.54,908.5,3.0,Apartment
"Gamara Hills, Shela, Ahmedabad",1,75.5,75.5,7947.37,950.0,3.0,Apartment
"Ganesh Genesis, Sarkhej Gandhinagar Highway, Ahmedabad",2,56.5,56.5,4484.125,1260.0,2.0,Apartment
"Ganesh Gold, Jagatpur, Ahmedabad",3,45.0,43.333333333333336,4575.16,990.0,1.6666666666666667,Apartment
"Ganesh Green, New Ranip, Ahmedabad",2,51.5,51.5,5085.27,1030.5,2.0,Apartment
"Ganesh Homes, New Ranip, Ahmedabad",1,80.0,80.0,9768.01,819.0,2.0,Villa/Bungalow
"Ganesh Malabar County 3, Sarkhej Gandhinagar Highway, Ahmedabad",1,83.0,83.0,6240.6,1330.0,2.0,Apartment
"Ganesh Malabar County 3, Vaishnodevi Circle, Ahmedabad",1,90.0,90.0,12482.66,721.0,2.0,Villa/Bungalow
"Ganesh Malabar County II, Gota, Ahmedabad",1,92.0,92.0,9387.76,980.0,3.0,Plot
"Ganesh Malabar County II, Sarkhej Gandhinagar Highway, Ahmedabad",2,88.5,88.5,5784.315,1530.0,3.0,Apartment
"Ganesh Malabar County II, Vaishnodevi Circle, Ahmedabad",1,100.0,100.0,6535.95,1530.0,3.0,Apartment
"Ganesh Malabar County, Chharodi, Ahmedabad",1,63.5,63.5,5604.59,1133.0,2.0,Apartment
"Ganesh Malabar County, Sarkhej Gandhinagar Highway, Ahmedabad",1,67.0,67.0,5741.22,1167.0,2.0,Apartment
"Ganesh Malabar Exotica, Tragad, Ahmedabad",1,110.0,110.0,11316.87,972.0,3.0,Apartment
"Ganesh Maple Tree Garden Homes, Thaltej, Ahmedabad",1,270.0,270.0,10800.0,2500.0,3.0,Apartment
"Ganesh Residency, Chandkheda, Ahmedabad",1,30.0,30.0,3968.25,756.0,1.0,Apartment
"Ganesh Sundarvan Epitome, Satellite, Ahmedabad",1,600.0,600.0,12371.13,4850.0,4.0,Apartment
"Ganesh Suyojan, Sola, Ahmedabad",1,250.0,250.0,10482.18,2385.0,3.0,Apartment
"Ganga Heights, Dharti Nagar, Ahmedabad",1,42.0,42.0,4242.42,990.0,2.0,Apartment
"Garden Paradise, Bopal, Ahmedabad",4,48.0,48.5,5627.030000000001,875.0,2.0,Apartment
"Garden Paradise, North Bopal, Ahmedabad",1,53.0,53.0,8153.85,650.0,2.0,Apartment
"Garden Residency 1, Gala Gymkhana Road, Ahmedabad",1,67.0,67.0,7528.09,890.0,2.0,Apartment
"Garden Residency 1, South Bopal, Bopal, Ahmedabad",1,68.0,68.0,5358.55,1269.0,2.0,Apartment
"Garden residency 3, Chittavan, Ahmedabad",1,95.0,95.0,8119.66,1170.0,3.0,Apartment
"Garden residency 3, South Bopal, Bopal, Ahmedabad",1,102.0,102.0,6028.37,1692.0,3.0,Apartment
"Ghanshyam Complex, Chandlodiya, Ahmedabad",1,35.0,35.0,5185.19,675.0,1.0,Plot
"Ghatlodiya, Ahmedabad",8,55.5,53.25,6088.305,864.0,2.125,Apartment
"Ghodasar, Ahmedabad",2,31.5,31.5,4719.28,636.0,1.5,Apartment
"Ghuma Gam, Ahmedabad",1,45.0,45.0,3169.01,1420.0,2.0,Apartment
"Ghuma Road, Ahmedabad",1,57.0,57.0,8142.86,700.0,2.0,Apartment
"Ghuma, Ahmedabad",4,64.75,67.375,6458.77,1045.0,2.5,Apartment
"Gigev Divit Hills, Nikol, Ahmedabad",1,35.0,35.0,4050.93,864.0,1.0,Apartment
"Gini Lake Gardenz, Makarba Road, Ahmedabad",1,85.0,85.0,5448.72,1560.0,3.0,Apartment
"Gini Lake Gardenz, Makarba, Ahmedabad",1,118.0,118.0,6236.79,1892.0,3.0,Apartment
"Girivar Pride, Odhav, Ahmedabad",1,50.0,50.0,7692.31,650.0,2.0,Apartment
"Godhavi, Ahmedabad",5,25.0,48.4,3298.15,800.0,1.8,Apartment
"Godrej Celeste, Jagatpur, Ahmedabad",1,70.0,70.0,9859.15,710.0,3.0,Apartment
"Godrej Garden City Carmel Tower, Jagatpur, Ahmedabad",1,75.0,75.0,8720.93,860.0,3.0,Apartment
"Godrej Garden City Carmel Tower, Sarkhej Gandhinagar Highway, Ahmedabad",1,55.0,55.0,4782.61,1150.0,2.0,Apartment
"Godrej Garden City, Ahmedabad",2,93.0,93.0,6196.525,1507.5,3.5,Apartment
"Godrej Garden City, Chandkheda, Ahmedabad",1,33.0,33.0,9166.67,360.0,1.0,Apartment
"Godrej Garden City, Godrej Garden City, Ahmedabad",1,52.0,52.0,6500.0,800.0,2.0,Apartment
"Godrej Garden City, Jagatpur Village, Gota, Ahmedabad",1,145.0,145.0,6558.12,2211.0,4.0,Villa/Bungalow
"Godrej Garden City, Sarkhej Gandhinagar Highway, Ahmedabad",4,55.0,55.0,6766.54,742.5,2.0,Apartment
"Godrej Green Glades, Godrej Garden City, Ahmedabad",1,75.0,75.0,12000.0,625.0,2.0,Apartment
"Godrej Green Glades, Jagatpur, Ahmedabad",8,57.5,73.0625,8507.425,656.5,2.375,Apartment
"Godrej Vanaangan, Jagatpur, Ahmedabad",1,30.0,30.0,8720.93,344.0,1.0,Apartment
"Godrej Vananta, Jagatpur Village, Gota, Ahmedabad",1,42.0,42.0,7969.64,527.0,2.0,Villa/Bungalow
"Godrej Vananta, Sarkhej Gandhinagar Highway, Ahmedabad",3,44.0,43.166666666666664,7305.5,527.0,1.6666666666666667,Apartment
"Godrej Vananta, Tragad Road, Ahmedabad",1,47.0,47.0,8918.41,527.0,2.0,Apartment
"Gokul Platinum, Ghodasar, Ahmedabad",3,21.0,22.666666666666668,2592.59,810.0,1.0,Apartment
"Gokulam, Sarkhej Gandhinagar Highway, Ahmedabad",1,13.0,13.0,3170.73,410.0,1.0,Apartment
"Gokuldham Parisar, Nikol, Ahmedabad",1,81.6,81.6,7253.33,1125.0,3.0,Villa/Bungalow
"Golden Swarnim Sun, Ghuma, Ahmedabad",1,68.4,68.4,3785.28,1807.0,3.0,Apartment
"Gopinath Pride, Nava Naroda, Ahmedabad",1,44.0,44.0,3520.0,1250.0,2.0,Villa/Bungalow
"Gota Gam, Ahmedabad",1,65.0,65.0,7647.06,850.0,2.0,Apartment
"Gota, Ahmedabad",20,75.5,73.77000000000001,7028.58,1121.0,2.45,Apartment
"Govardhan Galaxy Apartment, Naroda, Ahmedabad",1,42.0,42.0,3589.74,1170.0,2.0,Apartment
"Goya Orchid Heights, Sardar Patel Ring Road, Ahmedabad",2,127.5,127.5,6505.1,1960.0,3.0,Apartment
"Goyal & Co Aakash Residency, Shela, Ahmedabad",3,50.0,51.5,9009.01,555.0,2.0,Apartment
"Goyal Intercity, Memnagar, Ahmedabad",3,99.9,90.83333333333333,7400.0,1260.0,3.0,Apartment
"Goyal Intercity, Thaltej, Ahmedabad",1,91.0,91.0,7222.22,1260.0,3.0,Apartment
"Goyal Orchid Exotica, Anand Nagar Prahlad Nagar, Ahmedabad",1,150.0,150.0,7874.02,1905.0,3.0,Apartment
"Goyal Orchid Exotica, Prahlad Nagar, Ahmedabad",1,135.0,135.0,7049.61,1915.0,3.0,Apartment
"Goyal Orchid Gold, Sanathal, Ahmedabad",3,115.0,116.33333333333333,5302.71,2395.0,3.0,Apartment
"Goyal Orchid Heaven, Sardar Patel Ring Road, Ahmedabad",1,90.0,90.0,7500.0,1200.0,3.0,Apartment
"Goyal Orchid Legacy, Sardar Patel Ring Road, Ahmedabad",2,317.5,317.5,7463.565,4254.0,5.0,Apartment
"Goyal Orchid Legacy, Shela, Ahmedabad",1,220.0,220.0,8510.64,2585.0,4.0,Apartment
"Goyal Orchid Paradise, South Bopal, Bopal, Ahmedabad",2,72.5,72.5,5271.705,1365.0,2.5,Apartment
"Goyal Orchid Regal, Sanand Sarkhej Road, Ahmedabad",3,105.0,117.33333333333333,6089.19,2298.0,3.0,Apartment
"Goyal Orchid Whitefield, Makarba Road, Ahmedabad",1,85.0,85.0,7870.37,1080.0,2.0,Apartment
"Goyal Orchid Whitefield, Prahlad Nagar, Ahmedabad",1,68.0,68.0,9066.67,750.0,2.0,Villa/Bungalow
"Goyal Plaza, Satellite, Ahmedabad",1,75.0,75.0,6313.13,1188.0,2.0,Apartment
"Goyal Riviera Blues, Prahlad Nagar, Ahmedabad",1,175.0,175.0,6363.64,2750.0,4.0,Apartment
"Goyal Riviera Prestige, Makarba, Ahmedabad",3,180.0,188.66666666666666,7923.63,2095.0,4.0,Apartment
"Goyal Riviera Prestige, Sarkhej Gandhinagar Highway, Ahmedabad",1,202.0,202.0,9642.0,2095.0,4.0,Apartment
"Goyal Riviera Springs, Shela, Ahmedabad",2,247.5,247.5,8668.29,2992.0,3.5,Apartment
"Green Acres, Prahlad Nagar, Ahmedabad",1,155.0,155.0,7560.98,2050.0,3.0,Apartment
"Green City Flat, Ahmedabad",1,32.0,32.0,4740.74,675.0,1.0,Apartment
"Green City, Nirnay Nagar, Ahmedabad",3,51.5,49.5,5722.22,900.0,2.0,Apartment
"Green Legacy, Shela, Ahmedabad",1,88.7,88.7,9163.22,968.0,3.0,Apartment
"Green Park, Sanathal, Ahmedabad",1,35.0,35.0,7777.78,450.0,1.0,Apartment
"Gujrat Housing Board, Krishna Nagar Saijpur Bogha, Ahmedabad",2,29.5,29.5,3799.295,760.0,1.0,Apartment
"Gulab Tower, Thaltej Road, Ahmedabad",1,91.0,91.0,6408.45,1420.0,3.0,Apartment
"Gulbai Tekra, Ahmedabad",1,80.0,80.0,4848.48,1650.0,3.0,Apartment
"Gurukul Park, Gurukul, Ahmedabad",1,85.0,85.0,6513.41,1305.0,3.0,Apartment
"Gurukul Road, Ahmedabad",2,87.5,87.5,8402.645,1019.0,2.5,Apartment
"Gurukul, Ahmedabad",2,132.0,132.0,7768.385,1613.0,3.0,Apartment
"HN Orchid Divine, South Bopal, Bopal, Ahmedabad",2,77.0,77.0,5559.5650000000005,1385.0,3.0,Apartment
"HN Riviera Woods, Shela, Ahmedabad",3,302.0,304.0,8535.9,3538.0,4.0,Apartment
"HN Safal Marigold, South Bopal, Bopal, Ahmedabad",2,66.5,66.5,7091.72,971.5,2.5,Apartment
"HN Safal Orchid Elegance, South Bopal, Bopal, Ahmedabad",1,90.0,90.0,9375.0,960.0,3.0,Apartment
"HN Safal Orchid Harmony, Sardar Patel Ring Road, Ahmedabad",3,105.0,101.66666666666667,7916.67,1200.0,3.0,Apartment
"HN Safal and Goyal Orchid Elegance, South Bopal, Bopal, Ahmedabad",3,74.0,71.33333333333333,5284.55,1230.0,2.6666666666666665,Apartment
"HR Eliseo, Shela, Ahmedabad",3,145.0,185.0,5140.19,2850.0,4.0,Apartment
"HR Eternia, Shela, Ahmedabad",2,48.25,48.25,8417.025,573.5,2.0,Apartment
"Hansol, Ahmedabad",2,77.5,77.5,5765.595,1345.5,2.5,Apartment
"Hanspura, Naroda, Ahmedabad",4,45.0,55.75,3971.795,1129.5,2.0,Apartment
"Happy Highland, Manipur, Ahmedabad",2,43.5,43.5,5557.16,849.0,2.0,Plot
"Happy Uptown, Shela, Ahmedabad",1,60.0,60.0,8658.01,693.0,2.0,Apartment
"Harbholanath Society, Mahadev Nagar, Ahmedabad",1,70.0,70.0,4666.67,1500.0,5.0,Apartment
"Hari Icon, Nana Chiloda, Ahmedabad",1,80.0,80.0,6153.85,1300.0,3.0,Apartment
"Hari Om Elegance, Bopal, Ahmedabad",2,33.5,33.5,3805.085,954.0,2.0,Apartment
"Harsh EVOQ, Ghuma, Ahmedabad",1,85.0,85.0,5723.91,1485.0,3.0,Apartment
"Harshdip Avadh Elegance, Bopal, Ahmedabad",1,65.0,65.0,4012.35,1620.0,3.0,Apartment
"Hathijan, Ahmedabad",1,38.0,38.0,3324.58,1143.0,2.0,Apartment
"Heart Villa, Gota, Ahmedabad",1,75.0,75.0,3750.0,2000.0,2.0,Villa/Bungalow
"Hiloni 444, Naroda, Ahmedabad",2,45.0,45.0,4801.59,960.0,2.0,Apartment
"Hindva Skybell, Vastral, Ahmedabad",3,64.0,69.66666666666667,7111.11,900.0,2.3333333333333335,Apartment
"Hiradhan Halcyon, Chandkheda, Ahmedabad",1,90.0,90.0,6289.31,1431.0,3.0,Apartment
"Hirawadi, Bapunagar, Ahmedabad",2,35.0,35.0,4636.755,775.0,2.0,Apartment
"Hn Safal Orchid Greenfield, Shela, Ahmedabad",1,52.0,52.0,6516.29,798.0,2.0,Apartment
"Hometown 4, Chandkheda, Ahmedabad",1,37.0,37.0,4780.36,774.0,1.0,Apartment
"Horizon Ornate Pearl, Koteshwar, Ahmedabad",1,225.0,225.0,10227.27,2200.0,4.0,Apartment
"ICB Flora, Gota, Ahmedabad",4,97.5,97.0,6960.785,1417.5,3.0,Apartment
"ICB Island, Gota, Ahmedabad",1,55.0,55.0,4526.75,1215.0,2.0,Plot
"IIM, Ahmedabad",1,327.0,327.0,8745.65,3739.0,4.0,Apartment
"INDRAPRASTH 6, Satellite, Ahmedabad",1,165.0,165.0,12820.51,1287.0,3.0,Apartment
"Ibrahim Residency, Juhapura, Ahmedabad",2,70.0,70.0,10510.724999999999,666.5,2.0,Apartment
"Iconic Shyamal, Shyamal Cross Road, Ahmedabad",1,58.0,58.0,6444.44,900.0,2.0,Apartment
"Ideal Imprint, Jagatpur, Ahmedabad",1,155.0,155.0,4920.63,3150.0,4.0,Apartment
"India Colony, Bapunagar, Ahmedabad",1,31.6,31.6,3717.65,850.0,2.0,Apartment
"Indiabulls Centrum Ahmedabad, Saraspur, Ahmedabad",1,15.0,15.0,2525.25,594.0,1.0,Apartment
"Indraprasth Drive In, Drive In Road, Ahmedabad",2,100.0,100.0,4121.68,2412.0,3.5,Apartment
"Infinity Ajwad, Sarkhej, Ahmedabad",1,75.0,75.0,3280.84,2286.0,3.0,Apartment
"Isanpur Road, Ahmedabad",2,63.5,63.5,5059.365,1255.0,2.5,Apartment
"Isanpur, Ahmedabad",5,30.0,41.7,4884.0,819.0,1.8,Apartment
"Iscon Flower, Bopal, Ahmedabad",1,55.0,55.0,6111.11,900.0,2.0,Apartment
"Ishan Heights, Chandkheda, Ahmedabad",3,95.0,95.33333333333333,8257.64,1211.0,3.0,Apartment
"Ishan Heights, New CG Road, Ahmedabad",1,100.0,100.0,8264.46,1210.0,3.0,Apartment
"JBR Residency, Sola, Ahmedabad",1,90.0,90.0,7092.2,1269.0,2.0,Apartment
"JHY Beverly, Nana Chiloda, Ahmedabad",1,85.0,85.0,4106.28,2070.0,3.0,Apartment
"JP Iscon Platinum, Bopal, Ahmedabad",5,125.0,209.0,6313.13,2610.0,3.4,Apartment
"Jagatpur Road, Ahmedabad",1,45.0,45.0,4500.0,1000.0,2.0,Apartment
"Jagatpur, Ahmedabad",10,95.0,104.7,8563.065,1139.0,2.7,Apartment
"Jain Nagar Paldi, Ahmedabad",1,125.0,125.0,5668.93,2205.0,3.0,Apartment
"Janata Nagar Umedpark Society, Ahmedabad",1,47.0,47.0,6666.67,705.0,2.0,Apartment
"Janta Nagar Chandkheda, Ahmedabad",1,32.0,32.0,10158.73,315.0,1.0,Apartment
"Jawaharchowk Maninagar, Ahmedabad",2,40.0,40.0,5866.514999999999,711.0,2.0,Apartment
"Jay Visat Royal, Chandkheda, Ahmedabad",1,78.0,78.0,5098.04,1530.0,3.0,Apartment
"Jemn Sampriya, Ognaj, Ahmedabad",2,68.0,68.0,5475.04,1242.0,2.0,Apartment
"Jemn Sampriya, Sentossa Greenland, Ahmedabad",1,65.0,65.0,10466.99,621.0,2.0,Plot
"Jivan Veera, Vastral, Ahmedabad",1,110.0,110.0,5472.64,2010.0,3.0,Apartment
"Jivraj Park, Ahmedabad",6,59.0,60.0,6371.07,867.5,2.5,Apartment
"Jodhpur Gam Road, Ahmedabad",1,130.0,130.0,10156.25,1280.0,3.0,Apartment
"Jodhpur Village, Jodhpur, Ahmedabad",3,65.0,63.5,6083.33,1200.0,2.6666666666666665,Villa/Bungalow
"Judges Bunglow Road, Ahmedabad",4,79.5,81.0,9062.85,920.0,2.0,Apartment
"Juhapura Mithakhali, Ahmedabad",1,140.0,140.0,11965.81,1170.0,3.0,Apartment
"Juhapura, Ahmedabad",3,77.5,80.83333333333333,8387.45,981.0,2.3333333333333335,Apartment
"KARMA Ananya Allium, Tragad, Ahmedabad",1,67.0,67.0,5726.5,1170.0,2.0,Apartment
"KK Nagar, Ahmedabad",1,47.0,47.0,7730.26,608.0,1.0,Apartment
"KP Courtyard, Sanathal, Ahmedabad",1,65.0,65.0,3587.2,1812.0,3.0,Plot
"KT Hrishikesh Kishor Park, Vaishnodevi Circle, Ahmedabad",1,42.2,42.2,3663.19,1152.0,2.0,Apartment
"KV Satva Shiv Gold, Nikol, Ahmedabad",1,46.0,46.0,3814.26,1206.0,2.0,Apartment
"Kadamb Greens, Zundal, Ahmedabad",2,63.45,63.45,3814.88,1670.5,3.0,Apartment
"Kailash Rejoice, Nana Chiloda, Ahmedabad",1,150.0,150.0,3526.09,4254.0,4.0,Apartment
"Kailash Royal, Nana Chiloda, Ahmedabad",1,49.9,49.9,2884.39,1730.0,2.0,Apartment
"Kaival Grand Riviera, Paldi, Ahmedabad",2,88.5,88.5,9261.905,1075.0,2.0,Apartment
"Kalasagar Heights, New Ranip, Ahmedabad",2,85.0,85.0,8228.115,1035.0,3.0,Apartment
"Kalasagar Skies, Chandkheda, Ahmedabad",1,62.0,62.0,4592.59,1350.0,2.0,Apartment
"Kalash 2 Enclave, New Mani Nagar Narolgam, Ahmedabad",1,44.0,44.0,5945.95,740.0,2.0,Apartment
"Kalash 2 Enclave, Vatva, Ahmedabad",1,44.0,44.0,3492.06,1260.0,2.0,Apartment
"Kalash Enclave 3, Akruti Township, Ahmedabad",1,24.0,24.0,2492.21,963.0,2.0,Apartment
"Kalash Imperial Skyz, Nikol, Ahmedabad",1,130.0,130.0,7562.54,1719.0,4.0,Apartment
"Kalash Parisar and Plaza, Naroda, Ahmedabad",1,32.0,32.0,3137.25,1020.0,2.0,Apartment
"Kalpesh K Goswami Rudra Square H And I Block, Bodakdev, Ahmedabad",1,90.0,90.0,5555.56,1620.0,3.0,Apartment
"Kameshwar Elegance, Gota, Ahmedabad",1,57.5,57.5,4563.49,1260.0,2.0,Apartment
"Kankaria, Ahmedabad",6,90.0,81.83333333333333,5188.889999999999,1903.5,3.1666666666666665,Apartment
"Karmchari Nagar, Ahmedabad",1,55.0,55.0,6111.11,900.0,2.0,Apartment
"Karnavati 3, Narolgam, Ahmedabad",2,25.0,25.0,3369.425,742.0,1.0,Apartment
"Karnavati Apartment II, Ahmedabad",1,27.0,27.0,1973.68,1368.0,2.0,Apartment
"Karnavati Apartment II, Narolgam, Ahmedabad",1,40.0,40.0,3472.22,1152.0,2.0,Apartment
"Karnavati Nagar Sabarmati, Vastral, Ahmedabad",1,34.0,34.0,4444.44,765.0,1.0,Apartment
"Karnavati Orchid Heritage, Nava Naroda, Ahmedabad",1,58.0,58.0,5800.0,1000.0,3.0,Villa/Bungalow
"Kasturi Tower, Bodakdev, Ahmedabad",2,72.5,72.5,6299.0650000000005,1151.0,2.0,Apartment
"Kathwada, Ahmedabad",2,54.0,54.0,5524.844999999999,973.0,3.0,Apartment
"Kaveri Kadamb, Shilaj, Ahmedabad",2,47.25,47.25,3500.0,1350.0,3.0,Apartment
"Kaveri Pratham, Shilaj, Ahmedabad",1,69.0,69.0,5111.11,1350.0,3.0,Apartment
"Kaveri Trisara A.Shridhar, Shilaj, Ahmedabad",1,67.0,67.0,5214.01,1285.0,2.0,Apartment
"Kavish Karnavati Enclave, New Maninagar, Ahmedabad",5,45.0,43.6,4366.81,935.0,2.2,Apartment
"Kavish Karnavati Skylane, New Maninagar, Ahmedabad",1,85.0,85.0,4336.73,1960.0,3.0,Apartment
"Kavisha AER, Shela, Ahmedabad",1,60.5,60.5,6914.29,875.0,3.0,Apartment
"Kavisha Amara, Shela, Ahmedabad",2,66.0,66.0,7567.88,870.5,2.5,Apartment
"Kavisha Atria, Shela, Ahmedabad",1,70.0,70.0,4516.13,1550.0,3.0,Apartment
"Kavisha Panorama, South Bopal, Bopal, Ahmedabad",1,77.0,77.0,9058.82,850.0,3.0,Apartment
"Kavisha The Canvas, South Bopal, Bopal, Ahmedabad",2,225.5,225.5,7922.52,3100.0,4.0,Apartment
"Kavisha The Portrait, Shela, Ahmedabad",3,146.0,148.66666666666666,8295.45,1760.0,3.6666666666666665,Apartment
