Locality,Supply,Median_Price,Mean_Price,Price_Per_SqFt,Median_Area,Avg_BHK,Dominant_Type
"Abhilasha Sky, Nikol, Ahmedabad",1,53.5,53.5,5631.58,950.0,2.0,Apartment
"Abhilasha Square, Nikol, Ahmedabad",1,95.0,95.0,9099.62,1044.0,3.0,Apartment
"Abjibapa Dev Ashish Divine 2, Narolgam, Ahmedabad",1,35.0,35.0,6151.14,569.0,2.0,Apartment
"Abjibapa Lakeview, Vastral, Ahmedabad",1,48.5,48.5,4768.93,1017.0,2.0,Apartment
"Adani Aangan, Sarkhej Gandhinagar Highway, Ahmedabad",1,52.0,52.0,10097.09,515.0,2.0,Apartment
"Adani Ambrosia, Vaishnodevi Circle, Ahmedabad",3,266.0,254.33333333333334,12893.84,2063.0,4.0,Apartment
"Adani Archway, Jagatpur, Ahmedabad",2,130.0,130.0,6726.12,1932.5,3.0,Apartment
"Adani Aster Neo, Vaishnodevi Circle, Ahmedabad",2,74.5,74.5,6022.835,1241.5,2.0,Apartment
"Adani Aster, Shantigram, Ahmedabad",1,72.0,72.0,10315.19,698.0,2.0,Apartment
"Adani Aster, Vaishnodevi Circle, Ahmedabad",2,86.5,86.5,9695.21,953.5,2.0,Apartment
"Adani Atrius, Jagatpur, Ahmedabad",2,78.2,78.2,9618.259999999998,811.5,2.5,Apartment
"Adani Augusta, Tragad, Ahmedabad",1,118.0,118.0,10554.56,1118.0,3.0,Apartment
"Adani Embrace, Vaishnodevi Circle, Ahmedabad",2,172.0,172.0,9597.805,1949.5,3.0,Apartment
"Adani Pratham, Sarkhej Gandhinagar Highway, Ahmedabad",5,52.5,53.3,6411.58,677.0,1.6,Apartment
"Adani Pratham, Tragad, Ahmedabad",1,41.5,41.5,6268.88,662.0,1.0,Plot
"Adani Shantigram Waterlily, Sarkhej Gandhinagar Highway, Ahmedabad",3,300.0,308.3333333333333,9636.36,3220.0,4.0,Apartment
"Adani Shantigram Waterlily, Vishwakarma Vihar, Ahmedabad",1,76.0,76.0,10903.87,697.0,2.0,Apartment
"Adani Shantigram, Vaishnodevi Circle, Ahmedabad",1,75.0,75.0,6944.44,1080.0,2.0,Apartment
"Adani The Meadows, Sarkhej Gandhinagar Highway, Ahmedabad",2,85.0,85.0,9054.695,970.0,2.5,Apartment
"Adani The Meadows, Shantigram, Ahmedabad",1,165.0,165.0,9090.91,1815.0,3.0,Apartment
"Adani The Meadows, Vaishnodevi Circle, Ahmedabad",4,123.5,118.0,7078.049999999999,1610.0,2.5,Apartment
"Adarsh Orchid Residency, Nikol, Ahmedabad",1,80.0,80.0,3598.74,2223.0,3.0,Apartment
"Adarsh Tulip Skyview, Narolgam, Ahmedabad",2,50.0,50.0,2872.575,1730.0,2.5,Apartment
"Aditya Greens, Chandkheda, Ahmedabad",2,55.0,55.0,6004.67,1023.0,2.0,Apartment
"Aditya Oasis, Lambha, Ahmedabad",2,31.0,31.0,3215.995,1012.5,1.5,Apartment
"Agarwal Dhananjay Tower, Satellite, Ahmedabad",2,103.0,103.0,7219.75,1354.5,2.5,Apartment
Ahmedabad,206,54.0,68.94611650485437,5496.805,1044.0,2.262135922330097,Apartment
"Airan Shela 24, Shela, Ahmedabad",1,57.0,57.0,8769.23,650.0,2.0,Apartment
"Airport Road, Ahmedabad",1,25.0,25.0,5952.38,420.0,2.0,Apartment
"Akhbar Nagar, Nava Vadaj, Ahmedabad",1,75.0,75.0,9057.97,828.0,2.0,Apartment
"Akshar Afford, Chandkheda, Ahmedabad",1,65.0,65.0,5777.78,1125.0,2.0,Apartment
"Akshar Pratham, Chandlodiya, Ahmedabad",1,105.0,105.0,8076.92,1300.0,3.0,Plot
"Akshardham Heights, Vastral, Ahmedabad",3,35.0,30.333333333333332,3272.73,1089.0,1.6666666666666667,Apartment
"Aman Residency 1, Vatva, Ahmedabad",1,20.0,20.0,2691.79,743.0,1.0,Apartment
"Aman, Thaltej, Ahmedabad",4,198.0,198.25,5762.295,3446.0,4.0,Apartment
"Amar Vedant Residency, Vastral, Ahmedabad",1,54.0,54.0,5555.56,972.0,3.0,Apartment
"Amara By Pacifica, Sanathal, Ahmedabad",2,63.5,63.5,7858.91,808.0,3.0,Apartment
"Ambawadi Bazar, Ahmedabad",1,50.0,50.0,6250.0,800.0,2.0,Plot
"Ambawadi, Ahmedabad",11,150.0,138.9090909090909,8465.61,1650.0,3.0,Apartment
"Ambli Bopal Road, Ahmedabad",1,60.0,60.0,6060.61,990.0,3.0,Apartment
"Ambli, Ahmedabad",5,150.0,171.4,9684.21,1295.0,3.4,Apartment
"Amogha by Adani Realty, Vaishnodevi Circle, Ahmedabad",1,89.0,89.0,10774.82,826.0,3.0,Apartment
